origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.45,86.31375112
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.45,247.5983078
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.45,97.34317298
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.45,177.8466486
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.5,90.20586598
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.5,251.9454072
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.5,101.9396586
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.5,183.2126249
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.55,94.09798084
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.55,256.2925065
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.55,106.5361443
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.55,188.5786012
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.6,98.00547572
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.6,260.6567838
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.6,111.1507933
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.6,193.9657816
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.65,101.9441607
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.65,265.0558972
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.65,115.802277
